Size ,ST4-D2,ST4-D3,ST4-D4,ST4-D5,ST4-D6,ST5-D1,ST5-D2,ST5-D3,ST5-D4,ST5-D5,ST7-D1,ST7-D2,ST7-D3,ST7-D5,ST7-D6,ST4-U1,ST4-U2,ST4-U3,ST4-U4,ST4-U5,ST4-U6,ST4-U7,ST4-U9,ST4-U11,ST4-U14,ST5-U1,ST5-U2,ST5-U3,ST5-U4,ST5-U5,ST5-U6,ST5-U7,ST5-U8,ST5-U9,ST5-U10,ST5-U11,ST5-U12,ST6-U1,ST6-U2,ST6-U3,ST6-U4,ST6-U5,ST6-U8,ST6-U10,ST7-U1,ST7-U2,ST7-U3,ST7-U5,ST7-U7
1.95,0.542666492,0.304128225,0.417488413,0.148192412,0.501759794,0.386700761,0.236863635,0.184162022,0.136524127,0.122781387,0.286306988,0.191762155,0.107373647,0.088315605,0.12969,0.447480864,0.658274262,0.432503231,0.448166606,0.422537924,0.279984573,0.093238664,0.099090856,0.211783972,0.062981791,0.160787868,0.160034326,0.142550779,0.116335808,0.106362521,0.078110445,0.068784979,0.045227742,0.110035557,0.057447731,0.098682042,0.106627201,0.291127297,0.150233317,0.160635828,0.13335578,0.122001,0.131068022,0.112422104,0.155077437,0.181987866,0.184874506,0.098218027,0.086527961
2.3,0.656350858,0.367106223,0.500032192,0.175120386,0.608991054,0.467121172,0.289627762,0.222993103,0.167499728,0.150297522,0.36331741,0.246854329,0.136320993,0.110840691,0.165002138,0.546552666,0.796335191,0.524814357,0.547379329,0.515506634,0.343180329,0.115133905,0.122928262,0.270188643,0.077308221,0.196565513,0.197700351,0.176446216,0.142549478,0.129172625,0.095819042,0.08430115,0.054690602,0.134633483,0.070145256,0.120295515,0.13075861,0.352770126,0.185503876,0.198534528,0.164984779,0.150839376,0.162951374,0.139582721,0.195145774,0.227652976,0.234347451,0.122783743,0.112160389
2.72,0.764731504,0.426537802,0.580188131,0.19802691,0.710556503,0.539767384,0.338212382,0.257705554,0.195271139,0.173767327,0.425005574,0.291460923,0.195761011,0.127011606,0.189252258,0.63606058,0.92636388,0.610646388,0.639412414,0.59927668,0.400931153,0.133480749,0.141198852,0.317225887,0.088169901,0.231395012,0.231735594,0.206002428,0.164246188,0.147766368,0.110552168,0.096992922,0.061385485,0.155269304,0.08070323,0.137697215,0.149465004,0.409296971,0.214667677,0.229801185,0.190333586,0.173641553,0.187489394,0.186585722,0.226363499,0.264646658,0.274477338,0.141045718,0.130103405
3.2,0.886880852,0.491501036,0.67017601,0.226953326,0.834414184,0.622073899,0.393678429,0.300878839,0.228674941,0.202517874,0.50582926,0.348412639,0.340898752,0.151541312,0.222178427,0.739549388,1.067243499,0.70188268,0.741403728,0.688972634,0.469281519,0.156464108,0.165028205,0.3765327,0.103215166,0.272060475,0.272552267,0.241751767,0.193095303,0.17087472,0.130643808,0.115734831,0.071285499,0.181842001,0.094286422,0.159919698,0.173897851,0.477640298,0.252678486,0.270666348,0.223446337,0.204603776,0.221576596,0.29530059,0.267549738,0.314638741,0.332722704,0.168756344,0.158723624
3.78,1.045621955,0.574935795,0.789347834,0.263213711,0.996948861,0.727252548,0.464439629,0.354798998,0.268754074,0.23653826,0.593196968,0.41048877,0.447108389,0.177658945,0.253668,0.869655626,1.250533613,0.821076081,0.8711309,0.803683986,0.556108306,0.183091179,0.19131079,0.43995084,0.118931601,0.323327179,0.321494696,0.283172595,0.225571333,0.197391707,0.153113415,0.136778982,0.082360459,0.211949476,0.110112854,0.185271541,0.201629524,0.564899337,0.295091792,0.31775555,0.259608385,0.238888374,0.257246781,0.373792664,0.312404217,0.364290119,0.394739639,0.199150791,0.187866485
4.46,1.271517312,0.691692977,0.959667027,0.31798009,1.236404499,0.877049739,0.567289867,0.435572195,0.326857825,0.286342916,0.714477416,0.496792655,0.398390876,0.216639556,0.297060901,1.053147139,1.507560236,0.986723634,1.05315463,0.962089438,0.682883669,0.222350032,0.230268669,0.528878518,0.142334061,0.396939527,0.391467662,0.342843399,0.273418767,0.236478147,0.186556445,0.168612133,0.100002993,0.257325944,0.133910094,0.223180211,0.244041816,0.692811041,0.356700215,0.387789812,0.312413216,0.289605447,0.310230068,0.352150884,0.375484418,0.437935605,0.482793717,0.245191344,0.230618357
5.27,1.541150349,0.830448057,1.164081822,0.386118206,1.523964248,1.052007074,0.689453622,0.532821535,0.395606382,0.344177403,0.854650249,0.599162877,0.392620498,0.265354403,0.344421412,1.266224341,1.807465446,1.175792964,1.259799822,1.135999591,0.830424082,0.268539544,0.274289129,0.623902722,0.169906284,0.480377764,0.47284275,0.411044191,0.329415587,0.281352845,0.225364063,0.204379679,0.120962186,0.309367977,0.161916552,0.267756495,0.293864965,0.847250371,0.430732747,0.472480875,0.37453482,0.350051068,0.371764052,0.363466683,0.4477541,0.523679408,0.596445479,0.304759296,0.281630915
6.21,1.823217134,0.9780842,1.379258878,0.463591698,1.812789803,1.23036165,0.814305862,0.633649413,0.467355226,0.403430483,0.992012116,0.704674584,0.479750907,0.320448454,0.389957228,1.479757898,2.113130539,1.356903983,1.456041345,1.295094024,0.976523787,0.316536962,0.318167371,0.706965836,0.199828577,0.55884414,0.55594028,0.47826106,0.386036538,0.325715635,0.265889512,0.238222037,0.142502767,0.362522875,0.191859339,0.313876812,0.347084535,1.009067337,0.510054604,0.562419475,0.439806278,0.415716678,0.434592325,0.435923852,0.519794139,0.612993189,0.714048074,0.372263648,0.333565406
7.33,2.09932336,1.122618831,1.590688877,0.547203005,2.080715686,1.396638841,0.92769268,0.729594445,0.535216287,0.457751461,1.104897104,0.802111203,0.63146061,0.377363623,0.431465526,1.67401844,2.392301153,1.507225687,1.618071806,1.425736018,1.105114019,0.362074926,0.357007375,0.767776665,0.230362383,0.627192732,0.631712079,0.535671529,0.437626797,0.366068396,0.306071794,0.266858969,0.164054024,0.412755957,0.220905926,0.357668771,0.398121314,1.166057392,0.587089222,0.648199474,0.502880595,0.481065765,0.492267533,0.545087941,0.586502633,0.694663436,0.819266954,0.441771739,0.382082537
8.65,2.434529762,1.291696473,1.847452615,0.651765642,2.408666026,1.590233722,1.056580735,0.845567656,0.617358657,0.523471372,1.223840019,0.913837923,0.704513836,0.445358733,0.482921958,1.900486849,2.713300337,1.67349908,1.799456764,1.578080484,1.256024041,0.416844023,0.40241322,0.837529214,0.267711815,0.713959536,0.722594995,0.602390429,0.498952813,0.415471404,0.357775567,0.301182148,0.191325306,0.47426205,0.256408003,0.409158105,0.45786409,1.355693254,0.677726625,0.749633732,0.578016417,0.559184459,0.560815328,0.598547621,0.666291416,0.792952323,0.938481477,0.522788948,0.441664312
10.21,2.800955323,1.472391529,2.11991742,0.779038144,2.734354953,1.796057276,1.18856937,0.970054355,0.713331785,0.600211029,1.341449181,1.032595321,0.791980892,0.527135577,0.548611244,2.146727042,3.049322373,1.837181575,1.981334946,1.719624432,1.405604124,0.479716485,0.452498006,0.90980985,0.313866659,0.807582322,0.828239973,0.678162023,0.571475512,0.477841509,0.422742339,0.342588937,0.226058647,0.546496454,0.298355935,0.468244079,0.523913353,1.563810621,0.784321955,0.865417898,0.665194022,0.651167314,0.639811575,0.658526641,0.75819096,0.916059033,1.068018125,0.612770945,0.513994393
12.05,3.171052198,1.657004742,2.399806631,0.933739251,3.038358115,2.006688501,1.318857006,1.093311004,0.807962812,0.677690097,1.426844187,1.135322815,0.944547964,0.616288132,0.625906711,2.405520452,3.376183263,1.980078302,2.147549938,1.849662384,1.555884205,0.540086386,0.496262932,0.965345218,0.366128737,0.903322512,0.934420484,0.753640929,0.649534947,0.546333865,0.501118231,0.389831038,0.264865468,0.620665716,0.34268388,0.526240604,0.587749052,1.781547283,0.894003204,0.983114151,0.751712065,0.745517681,0.715396291,0.748311941,0.850318128,1.038540598,1.175925337,0.693277314,0.589238788
14.22,3.717948573,1.932249797,2.822079026,1.171418869,3.501368839,2.325942208,1.510212934,1.271931654,0.940205374,0.787622734,1.548851347,1.271529129,1.066931903,0.747565835,0.74352102,2.806107545,3.85703409,2.195570827,2.400433039,2.062815279,1.789381703,0.621732154,0.55552963,1.050528469,0.443251851,1.054243655,1.088026614,0.871357613,0.772795654,0.655259556,0.622176342,0.465181231,0.323717039,0.727586725,0.405819913,0.604903845,0.67583037,2.104759248,1.050696188,1.145585026,0.871096415,0.877355387,0.824295251,0.82181092,0.98508984,1.211121037,1.329342028,0.796513621,0.694476457
16.78,4.329166843,2.243273372,3.294488895,1.484012748,3.972473774,2.682089322,1.699624393,1.461574675,1.080441096,0.902439447,1.68356182,1.417056725,1.25884692,0.916112825,0.893284424,3.289702242,4.368281761,2.404301894,2.654797688,2.26493828,2.033288645,0.705538663,0.612769333,1.133281648,0.539386888,1.221817083,1.256083859,1.009567502,0.924710623,0.78784808,0.780162413,0.558732069,0.394937849,0.841897427,0.477884456,0.687660682,0.765190164,2.47413164,1.241285792,1.325345789,1.003167688,1.02810247,0.950924585,0.935730645,1.150684902,1.412435442,1.504772473,0.910156369,0.815483834
19.81,5.043819691,2.592663233,3.831117063,1.88955182,4.469168428,3.097604629,1.897401873,1.673499016,1.223087122,1.008765115,1.851490596,1.585080325,1.487869015,1.120870988,1.067788949,3.882728651,4.913315847,2.60387041,2.922677232,2.457543886,2.283610623,0.787169923,0.66548728,1.212287994,0.6509484,1.406557977,1.418972129,1.152456192,1.087516423,0.932212998,0.957265367,0.660983768,0.47596982,0.946944265,0.555161804,0.770921032,0.848090945,2.904292975,1.470053477,1.525053947,1.146351156,1.196547855,1.09729838,1.07259362,1.356949406,1.648469332,1.703882094,1.043890056,0.955564897
23.37,5.74618848,2.922658115,4.332167118,2.341898781,4.851612844,3.520214787,2.046959656,1.875902342,1.348433751,1.076505351,2.072308408,1.790427342,1.694007605,1.35085602,1.248036955,4.51725783,5.364787283,2.727205896,3.129196435,2.567657337,2.437582335,0.860235828,0.707426859,1.277713417,0.765761768,1.56357227,1.536064786,1.256694625,1.211075413,1.049736491,1.117306471,0.756150368,0.554981022,1.011734301,0.627219905,0.843702324,0.904917844,3.338622938,1.738946144,1.727096742,1.291977715,1.373975483,1.253915194,1.193103212,1.617432654,1.906007565,1.924705139,1.210002503,1.118994958
27.58,6.511441881,3.276347613,4.846669879,2.843613239,5.201038358,4.009137363,2.208322744,2.098727781,1.469588597,1.117666553,2.329453645,2.022934195,1.897177854,1.584071027,1.413636769,5.264833735,5.84603111,2.838754368,3.368001592,2.66442816,2.554721485,0.936687671,0.74641225,1.339032124,0.887728951,1.734795889,1.610944924,1.318670939,1.283041843,1.137035442,1.237895452,0.85011208,0.642443014,1.044610857,0.696072395,0.915784798,0.949609942,3.843010901,2.048607711,1.946462634,1.447271506,1.564357813,1.415019492,1.308522463,1.921982076,2.156045392,2.127507028,1.401707438,1.295655498
32.55,7.164786483,3.55278198,5.259847449,3.260805968,5.463909746,4.442928386,2.350240707,2.311237747,1.583535876,1.158644657,2.500205071,2.185242305,2.041464158,1.78364945,1.537221597,5.929545693,6.236141269,2.890668687,3.603203405,2.742840217,2.651070105,1.012846895,0.778742942,1.381637576,1.024669785,1.91849318,1.664760458,1.358954631,1.337182203,1.226726599,1.356046001,0.977667747,0.771194385,1.086287468,0.762768573,0.991829375,1.008458312,4.332718136,2.34442477,2.150578624,1.592239425,1.742787097,1.541124115,1.377730597,2.171780074,2.26868174,2.190618739,1.542292189,1.416170219
38.41,7.689047583,3.759825204,5.551757073,3.552828137,5.631008199,4.846459783,2.491807917,2.519564069,1.71865051,1.226031813,2.564735569,2.261696524,2.159978219,1.94578701,1.620355333,6.507913805,6.57055101,2.905230692,3.865724158,2.828856639,2.756456754,1.106381451,0.8182023,1.423934722,1.203234261,2.137756242,1.739222847,1.42394564,1.421712656,1.362644416,1.516976908,1.170002947,0.97937696,1.168696069,0.839529569,1.088216384,1.106215338,4.812185586,2.644854715,2.345560408,1.742395409,1.92118019,1.642795391,1.438224103,2.337327002,2.257538358,2.123315709,1.617466289,1.469408341
