Date_Time,Turbidity (NTU),SSC (mg/L),Sample SSC
4/19/2023 21:44,11.34906,10.37579402,
4/19/2023 21:59,14.040305,13.11279019,
4/19/2023 22:14,12.67904,11.72838368,
4/19/2023 22:29,9.484927,8.479970759,6
4/19/2023 22:44,10.39789,9.40845413,
4/19/2023 22:59,12.08465,11.12388905,
4/19/2023 23:14,11.69962,10.73231354,
4/19/2023 23:29,11.08269,10.10489573,
4/19/2023 23:44,11.40692,10.43463764,
4/19/2023 23:59,12.36754,11.41158818,
4/20/2023 0:14,10.55929,9.57259793,
4/20/2023 0:29,10.53131,9.54414227,
4/20/2023 0:44,13.71374,12.78067358,
4/20/2023 0:59,10.59522,9.60913874,
4/20/2023 1:14,9.604936,8.602019912,
4/20/2023 1:29,11.20587,10.23016979,
4/20/2023 1:44,10.37939,9.38963963,
4/20/2023 1:59,10.3536,9.3634112,
4/20/2023 2:14,12.67062,11.71982054,
4/20/2023 2:29,9.83317,8.83413389,
4/20/2023 2:44,11.62924,10.66073708,
4/20/2023 2:59,10.51904,9.53166368,
4/20/2023 3:14,9.663509,8.661588653,
4/20/2023 3:29,10.88853,9.90743501,8.89
4/20/2023 3:44,9.667344,8.665488848,
4/20/2023 3:59,10.98657,10.00714169,
4/20/2023 4:14,12.36356,11.40754052,
4/20/2023 4:29,11.33566,10.36216622,
4/20/2023 4:44,8.974212,7.960573604,
4/20/2023 4:59,8.971931,7.958253827,
4/20/2023 5:14,11.53397,10.56384749,
4/20/2023 5:29,14.07357,13.14662069,
4/20/2023 5:44,10.08519,9.09043823,
4/20/2023 5:59,9.222273,8.212851641,
4/20/2023 6:14,11.15844,10.18193348,
4/20/2023 6:29,11.48116,10.51013972,
4/20/2023 6:44,12.16239,11.20295063,
4/20/2023 6:59,11.83926,10.87432742,
4/20/2023 7:14,10.82301,9.84080117,
4/20/2023 7:29,10.71728,9.73327376,
4/20/2023 7:44,10.44731,9.45871427,
4/20/2023 7:59,9.492565,8.487738605,
4/20/2023 8:14,12.72536,11.77549112,
4/20/2023 8:29,11.40944,10.43720048,12.22
4/20/2023 8:44,9.806915,8.807432555,
4/20/2023 8:59,11.03762,10.05905954,
4/20/2023 9:14,17.29832,16.42619144,
4/20/2023 9:29,9.880679,8.882450543,
4/20/2023 9:44,9.940598,8.943388166,
4/20/2023 9:59,12.39051,11.43494867,
4/20/2023 10:14,11.35758,10.38445886,
4/20/2023 10:29,9.385557,8.378911469,
4/20/2023 10:44,10.7190062,9.735029305,
4/20/2023 10:59,12.34977,11.39351609,
4/20/2023 11:14,9.545843,8.541922331,
4/20/2023 11:29,9.696771,8.695416107,
4/20/2023 11:44,9.994664,8.998373288,
4/20/2023 11:59,12.00313,11.04098321,
4/20/2023 12:14,11.06413,10.08602021,
4/20/2023 12:29,10.8603,9.8787251,
4/20/2023 12:44,9.856044,8.857396748,
4/20/2023 12:59,10.50243,9.51477131,
4/20/2023 13:14,9.311099,8.303187683,
4/20/2023 13:29,12.27771,11.32023107,
4/20/2023 13:44,10.2231,9.2306927,
4/20/2023 13:59,9.713185,8.712109145,
4/20/2023 14:14,10.45653,9.46809101,
4/20/2023 14:29,9.819047,8.819770799,
4/20/2023 14:44,13.54365,12.60769205,
4/20/2023 14:59,12.775191,11.82616925,
4/20/2023 15:14,11.84244,10.87756148,
4/20/2023 15:29,11.00121,10.02203057,
4/20/2023 15:44,11.52557,10.55530469,
4/20/2023 15:59,9.594249,8.591151233,
4/20/2023 16:14,12.2525,11.2945925,
4/20/2023 16:29,10.25287,9.26096879,
4/20/2023 16:44,10.2577,9.2658809,
4/20/2023 16:59,10.12477,9.13069109,
4/20/2023 17:14,9.836295,8.837312015,
4/20/2023 17:29,9.056674,8.044437458,
4/20/2023 17:44,9.61454,8.61178718,
4/20/2023 17:59,13.88583,12.95568911,
4/20/2023 18:14,10.60501,9.61909517,
4/20/2023 18:29,12.5096456,11.55610958,6.88
4/20/2023 18:44,10.56295,9.57632015,
4/20/2023 18:59,9.809132,8.809687244,
4/20/2023 19:14,8.553005,7.532206085,
