Di (um),T1-A,T1-B,T1-C,T1-D,T2-A,T2-B,T3-C,T3-D,T5-A,T5-B,T5-C,T5-D,T6-B,T6-C,T6-D,T7-A,T7-B,T7-C,T7-D,T8-A,T8-C,T8-D
38.41,0.265858346,0.278258886,0.332616329,0.421147364,0.256463619,0.224456649,0.482678609,0.259562402,0.316839359,0.331904801,0.507653886,0.314186601,0.289410856,0.411298144,0.206947643,0.298986798,0.312340817,0.629538855,0.397699958,0.606456515,0.456264628,0.260202185
45.32,0.308227544,0.320717215,0.373324179,0.475484659,0.293429593,0.252236292,0.502274782,0.291425011,0.348514347,0.364982556,0.531414762,0.323560309,0.319881479,0.459362269,0.228936825,0.33047039,0.356730839,0.654600872,0.437997527,0.619454983,0.497102977,0.29112092
53.48,0.350596741,0.362496468,0.411446295,0.52760048,0.328993275,0.278058949,0.517073073,0.320480108,0.37562599,0.393762669,0.549152533,0.330465049,0.345907635,0.502149665,0.247849113,0.357660766,0.398801497,0.673006852,0.473243868,0.628501916,0.531974527,0.318746534
63.11,0.390213243,0.401527087,0.445375327,0.575184489,0.361635516,0.300969995,0.528113984,0.34537691,0.397458468,0.417646288,0.562138128,0.335402984,0.367169003,0.537939658,0.263339682,0.379985495,0.436233431,0.686522682,0.502802901,0.634533205,0.560341285,0.342484438
74.48,0.424212757,0.434737067,0.47280508,0.614149173,0.389058115,0.319561354,0.53591777,0.365188408,0.413624045,0.436034561,0.570647837,0.338415962,0.38330522,0.566158691,0.275355484,0.397051033,0.467995812,0.695691713,0.525327634,0.638068789,0.581469629,0.361785778
87.89,0.451962907,0.461673691,0.493770497,0.643250505,0.41079364,0.333856891,0.541409323,0.380338377,0.424987671,0.449667246,0.576007849,0.340089838,0.39511709,0.587953879,0.284639215,0.409930685,0.494604054,0.701872319,0.541865725,0.639940568,0.596533355,0.377428096
103.72,0.473612488,0.48285435,0.508830654,0.663377075,0.427036855,0.344190728,0.545340119,0.391541937,0.43250377,0.459425007,0.579212805,0.340926776,0.402964977,0.603784069,0.291456127,0.419161102,0.515736023,0.705947444,0.553277757,0.640876458,0.606657353,0.389823032
122.39,0.475687289,0.484933697,0.510129958,0.66506072,0.428503726,0.345097937,0.545709772,0.392583254,0.433118338,0.460321895,0.579441834,0.340976332,0.403543453,0.60519004,0.292074926,0.419961843,0.517826501,0.706293293,0.554234832,0.640925715,0.607497159,0.391041703
125,0.491133026,0.500413278,0.519802555,0.677594519,0.439423767,0.351851609,0.548461633,0.400335276,0.437693457,0.466998721,0.581146829,0.341345246,0.407849887,0.61565671,0.296681542,0.425922918,0.533388948,0.70886795,0.561359721,0.641292409,0.613749043,0.400114031
144.43,0.504747711,0.514803192,0.527385047,0.687324583,0.448382855,0.357292982,0.550947284,0.407115682,0.441093597,0.47277588,0.582251986,0.341512633,0.410612664,0.62431743,0.300633759,0.430860118,0.548142671,0.710973431,0.56682253,0.641500384,0.618542046,0.409170109
170.44,0.515163317,0.526638491,0.53231192,0.693811293,0.454537359,0.361063758,0.552912682,0.412439359,0.443241054,0.477284881,0.582804565,0.34155448,0.411974032,0.630798631,0.303737178,0.43454513,0.561801139,0.712399724,0.570414514,0.641604372,0.621623263,0.417997499
201.13,0.522937823,0.536307219,0.535316963,0.69772109,0.458471567,0.363545788,0.554473439,0.416597655,0.444523563,0.480772313,0.583080854,0.34155448,0.412494555,0.635215024,0.306071373,0.437156837,0.574557633,0.713350586,0.572622087,0.641604372,0.623481775,0.427099316
237.35,0.524776473,0.538900942,0.535885778,0.698444343,0.459267068,0.364068499,0.554918276,0.417671625,0.444770739,0.481689819,0.583113564,0.34155448,0.41255381,0.636250554,0.306691582,0.437792181,0.578237901,0.713571712,0.573053987,0.641604372,0.623858141,0.430104589
250,0.529149988,0.545070515,0.537238793,0.700164713,0.461159293,0.365311848,0.55597639,0.420226231,0.445358685,0.483872252,0.58319137,0.34155448,0.412694756,0.638713725,0.308166844,0.439303445,0.586991993,0.714097693,0.57408133,0.641604372,0.624753388,0.437253102
280.09,0.531514463,0.548581372,0.537776814,0.70083127,0.462035876,0.365886607,0.556912093,0.421752921,0.445629519,0.485318644,0.583235002,0.34155448,0.412726372,0.640162962,0.309161701,0.440193311,0.591773957,0.714446283,0.574554041,0.641604372,0.625216808,0.441749416
300,0.552371793,0.573184378,0.557942127,0.713735561,0.484542498,0.378629913,0.575937283,0.442914222,0.459109478,0.501873652,0.593757542,0.357350857,0.434316557,0.656802877,0.325264738,0.458654248,0.615209774,0.727726563,0.592973066,0.659652633,0.640724439,0.468604359
330.52,0.592079772,0.619562178,0.596603508,0.738063991,0.527684056,0.402980799,0.613769062,0.483777248,0.485155096,0.534203347,0.614203376,0.388156897,0.47636719,0.688821749,0.356851218,0.494465093,0.657829022,0.753602407,0.628490886,0.69485029,0.670657974,0.519701507
390.04,0.637016682,0.671100531,0.641667471,0.766073482,0.57766776,0.431112507,0.656964496,0.530609241,0.515606424,0.570965587,0.638318282,0.424506161,0.525937146,0.725039948,0.393235081,0.53588198,0.704231616,0.783679344,0.669956067,0.736381396,0.705392858,0.577163535
460.27,0.860942722,0.921658182,0.888954597,0.91816473,0.848651008,0.583138421,0.882460795,0.773278284,0.682648243,0.756344598,0.771833446,0.626220511,0.801017579,0.9108211,0.581089068,0.755491066,0.917560837,0.946712161,0.896394044,0.966851539,0.894691111,0.842369521
850,0.890691206,0.941069191,0.922162012,0.932158385,0.888703415,0.626223984,0.921245065,0.819529204,0.724297853,0.801698158,0.797964834,0.696871725,0.867907855,0.937092172,0.627639155,0.803729544,0.939196351,0.96783499,0.932196444,0.983803552,0.919483303,0.893672465
1000,0.999999999,0.999999999,1,1.000000002,0.999999999,1,0.999999999,1.000000002,1,1,0.999999984,1,1.000000003,1.000000002,1,0.999999999,0.999999999,1.000000002,1.000000001,0.999999999,1,0.999999999
