Di (um),T1-A,T1-B,T1-C,T1-D,T2-A,T2-B,T3-C,T3-D,T5-A,T5-B,T5-C,T5-D,T6-A,T6-B,T6-C,T6-D,T7-A,T7-B,T7-C,T7-D,T8-A,T8-C,T8-D
14.22,0.018826068,0.026522825,0.01698314,0.024874569,0.016568052,0.015177059,0.026333508,0.01731027,0.031571499,0.025567586,0.025855435,0.04361863,0.026514418,0.021541989,0.029886827,0.021570532,0.011145656,0.019003355,0.031049629,0.022527385,0.032980254,0.014603326,0.016236657
16.78,0.021086549,0.02972793,0.019124641,0.027920808,0.018548788,0.017056332,0.029448017,0.019411915,0.035304774,0.02855826,0.029046313,0.048752085,0.029595836,0.024014016,0.033332136,0.024137208,0.012737429,0.021402198,0.03568173,0.025720592,0.037031153,0.016643353,0.018265115
19.81,0.023729375,0.033458894,0.021656193,0.031488224,0.02082162,0.019231983,0.033086525,0.021852305,0.039672285,0.031992408,0.032803686,0.054545041,0.033140257,0.026878933,0.037416013,0.027123838,0.014655485,0.024237308,0.041254227,0.029517575,0.041830592,0.019092126,0.020630876
23.37,0.024919635,0.035140921,0.022814985,0.033106052,0.021832065,0.020199507,0.034733939,0.022939332,0.041654257,0.033531737,0.034526211,0.057028854,0.034706509,0.028168359,0.039305554,0.028452099,0.015539281,0.025536398,0.043826818,0.031262539,0.044077737,0.020210818,0.021715543
25,0.026803604,0.03780327,0.024649147,0.035666787,0.023431418,0.021730925,0.037341502,0.024659903,0.044791366,0.035968222,0.037252661,0.060960287,0.037185606,0.030209291,0.042296362,0.030554501,0.016938174,0.027592627,0.047898771,0.034024507,0.047634566,0.021981508,0.023432377
27.58,0.030412499,0.042884063,0.028244669,0.040568953,0.026414749,0.024589706,0.042338923,0.027922086,0.050769045,0.04066111,0.04257611,0.068103158,0.041769282,0.034062573,0.048111136,0.034484581,0.019655366,0.031551608,0.055805587,0.039414458,0.054711839,0.02539904,0.026812504
32.55,0.034570694,0.048693216,0.032488836,0.04617645,0.02971104,0.027808659,0.048088615,0.03163968,0.057531591,0.04602416,0.048730312,0.075884348,0.046813853,0.038355902,0.054779646,0.038845692,0.022784476,0.036052279,0.064740663,0.045632369,0.06295246,0.029318333,0.030815155
38.41,0.039277778,0.055185072,0.037368703,0.052429884,0.033252539,0.031397088,0.054583877,0.035782898,0.064925996,0.051892165,0.055573563,0.084188787,0.052216606,0.042944179,0.062100604,0.043500577,0.026218258,0.041015634,0.074270193,0.052467771,0.072100438,0.033642508,0.035411156
45.32,0.04437669,0.062088913,0.04275374,0.05906076,0.036952874,0.035238035,0.061569187,0.040239874,0.072676366,0.058054166,0.062975009,0.092753134,0.057754204,0.047675045,0.06972436,0.048273935,0.029784309,0.046309088,0.084060413,0.059601114,0.081914218,0.038178781,0.040362457
53.48,0.049438294,0.068866526,0.048163743,0.065548953,0.040589944,0.039111877,0.068498211,0.044649853,0.080173041,0.063963837,0.070357945,0.100990593,0.063060564,0.052235975,0.077061803,0.05285056,0.03319973,0.051570694,0.093301996,0.06635694,0.09158251,0.042539004,0.045227592
63.11,0.054335211,0.07529876,0.053330562,0.071675168,0.044094427,0.043028247,0.075126148,0.048828319,0.087144093,0.069462377,0.077452048,0.108781515,0.068054569,0.056486611,0.08378237,0.057037091,0.036375638,0.056661693,0.101762089,0.072525403,0.100722714,0.046604897,0.049952569
74.48,0.058631093,0.0809038,0.057808667,0.07692877,0.047253868,0.046690106,0.080850824,0.052429082,0.093069447,0.074107771,0.08375657,0.115422318,0.072395418,0.060199535,0.0894965,0.060445601,0.039031083,0.061227051,0.108797233,0.077537629,0.108644594,0.049975923,0.054040842
87.89,0.062356237,0.085713338,0.061565694,0.081296755,0.05004516,0.050132007,0.085645882,0.055431786,0.097926906,0.077868258,0.089151191,0.12087522,0.076105235,0.063343214,0.094204193,0.063017815,0.04115063,0.065227017,0.114340732,0.081387801,0.11514158,0.052642425,0.057471141
103.72,0.065390067,0.089592015,0.064522587,0.084665963,0.052395615,0.053219052,0.089384008,0.057763122,0.101663352,0.080791917,0.093555804,0.125150523,0.079096581,0.065895326,0.097928876,0.064880636,0.042766776,0.068549746,0.118585713,0.084246084,0.120224777,0.054652521,0.060259827
122.39,0.065681749,0.089960753,0.064797976,0.084968604,0.052631398,0.053543584,0.089723895,0.057975963,0.102003211,0.081057053,0.093983673,0.125558847,0.079380458,0.066142928,0.098283035,0.065052415,0.042916983,0.068881448,0.118989235,0.084503862,0.120693705,0.054839639,0.060523482
125,0.06785316,0.092705807,0.066848095,0.087221598,0.054386671,0.055959548,0.092254163,0.059560442,0.104533272,0.083030843,0.09716892,0.128598589,0.081493766,0.067986183,0.100919554,0.066331209,0.044035189,0.071350784,0.121993238,0.086422882,0.124184607,0.056232629,0.062486249
144.43,0.069813328,0.095182552,0.068650094,0.089129187,0.056046819,0.058401673,0.094429674,0.060914762,0.106698397,0.084737136,0.10008054,0.131350515,0.083404245,0.069679684,0.103334134,0.067409748,0.045009004,0.073681731,0.12467698,0.088061559,0.127198764,0.057450498,0.064338829
170.44,0.07135508,0.097175873,0.070038001,0.090567259,0.057446279,0.060550743,0.096083419,0.061920241,0.108356132,0.085967322,0.102420241,0.133441223,0.084933893,0.071086611,0.105399932,0.068169228,0.045726894,0.075661838,0.126717261,0.08922943,0.12948437,0.058347486,0.065846197
201.13,0.072484393,0.098701884,0.071033546,0.091596261,0.058566206,0.062342299,0.097274366,0.062617756,0.109537398,0.086798906,0.104187703,0.134968608,0.086103778,0.072215891,0.1071343,0.068688631,0.046241506,0.077263701,0.128188317,0.090021654,0.13111417,0.05897734,0.067056618
237.35,0.072749401,0.099053706,0.071267812,0.091816567,0.058831144,0.062778935,0.097529281,0.062780073,0.10978284,0.086996827,0.104624775,0.135334939,0.086369279,0.072486206,0.10757316,0.068814852,0.046364386,0.077653996,0.128537458,0.090197652,0.131462766,0.059124848,0.06735854
250,0.073379763,0.099890571,0.071825051,0.0923406,0.05946134,0.063817542,0.098135636,0.063166169,0.110366662,0.087467612,0.105664418,0.136206316,0.087000813,0.073129193,0.108617058,0.069115086,0.046656674,0.078582374,0.129367945,0.09061629,0.132291957,0.05947572,0.068076709
280.09,0.073678657,0.100245356,0.072111135,0.092543172,0.059730422,0.064275093,0.098368087,0.063369618,0.110582945,0.087734382,0.106221349,0.1366796,0.08725889,0.07341078,0.109111,0.069322811,0.046820199,0.078994404,0.129814893,0.090824314,0.132608531,0.059666892,0.068401181
300,0.089808597,0.12307402,0.090174153,0.113766758,0.077074411,0.080547071,0.118305538,0.076917425,0.127401426,0.103181221,0.123322497,0.157182952,0.100070524,0.086458468,0.128269291,0.08395995,0.058484545,0.094725331,0.147099107,0.108148797,0.149996782,0.080433754,0.087144601
330.52,0.121038825,0.167224015,0.125245782,0.154914023,0.110606593,0.111817219,0.156899994,0.103243937,0.159912548,0.133225467,0.156438614,0.196959308,0.124759865,0.11160888,0.165214468,0.112596067,0.081179428,0.125026002,0.180580048,0.141800702,0.183512872,0.120855915,0.123402023
390.04,0.157657452,0.219066301,0.166412456,0.203324488,0.149972653,0.148383903,0.202269765,0.134154438,0.198106162,0.168416241,0.195083895,0.243502024,0.153709287,0.141084631,0.208485044,0.146247721,0.107840409,0.160512212,0.219695673,0.181325428,0.222813356,0.168401704,0.165966861
460.27,0.35828248,0.504208396,0.391997353,0.47069452,0.3665877,0.347923542,0.452646463,0.303547533,0.408889319,0.360807404,0.403517707,0.496835363,0.31265964,0.30264877,0.444465006,0.329561465,0.253920679,0.354093078,0.432342703,0.398775812,0.439060065,0.430192941,0.399572528
850,0.444911442,0.599786402,0.469707415,0.564809739,0.451572486,0.436381186,0.541604491,0.381341096,0.486998279,0.442368267,0.476169774,0.576148972,0.379224389,0.368849707,0.529349878,0.396934181,0.318952164,0.424504489,0.51580709,0.484099624,0.526086159,0.528665986,0.496361634
1000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.000000001,1,1,1,1
