Date_Time,Turbidity (NTU),SSC (mg/L),C_conc,S_conc,FS_conc
4/21/2023 7:59,9.392,8.386,0.08,5.06,4.15
4/21/2023 8:14,9.419,8.413,0.08,5.08,4.16
4/21/2023 8:29,11.969,11.006,0.14,6.48,5.30
4/21/2023 8:44,8.061,7.032,0.06,4.33,3.56
4/21/2023 8:59,8.436,7.413,0.06,4.54,3.72
4/21/2023 9:14,8.828,7.812,0.07,4.75,3.90
4/21/2023 9:29,7.886,6.854,0.05,4.23,3.48
4/21/2023 9:44,8.526,7.505,0.07,4.59,3.76
4/21/2023 9:59,8.485,7.463,0.07,4.56,3.75
4/21/2023 10:14,8.371,7.347,0.06,4.50,3.70
4/21/2023 10:29,10.219,9.226,0.10,5.52,4.52
4/21/2023 10:44,8.959,7.945,0.08,4.82,3.96
4/21/2023 10:59,8.734,7.717,0.07,4.70,3.86
4/21/2023 11:14,8.743,7.725,0.07,4.70,3.86
4/21/2023 11:29,9.458,8.452,0.09,5.10,4.18
4/21/2023 11:44,7.410,6.369,0.04,3.97,3.27
4/21/2023 11:59,9.910,8.912,0.09,5.35,4.38
4/21/2023 12:14,8.652,7.633,0.07,4.65,3.82
4/21/2023 12:29,9.402,8.395,0.08,5.07,4.15
4/21/2023 12:44,7.902,6.870,0.05,4.24,3.49
4/21/2023 12:59,9.445,8.439,0.09,5.09,4.17
4/21/2023 13:14,7.990,6.960,0.06,4.29,3.53
4/21/2023 13:29,9.345,8.338,0.08,5.04,4.13
4/21/2023 13:44,7.489,6.450,0.04,4.01,3.30
4/21/2023 13:59,10.578,9.592,0.11,5.71,4.68
4/21/2023 14:14,9.119,8.107,0.08,4.91,4.03
4/21/2023 14:29,9.073,8.062,0.08,4.89,4.01
4/21/2023 14:44,12.321,11.365,0.14,6.67,5.46
4/21/2023 14:59,12.164,11.205,0.14,6.59,5.39
4/21/2023 15:14,13.898,12.968,0.18,7.54,6.16
4/21/2023 15:29,9.065,8.053,0.08,4.88,4.00
4/21/2023 15:44,11.772,10.806,0.13,6.37,5.21
4/21/2023 15:59,12.079,11.118,0.14,6.54,5.35
4/21/2023 16:14,9.850,8.851,0.09,5.31,4.35
4/21/2023 16:29,11.252,10.277,0.12,6.09,4.98
4/21/2023 16:44,8.453,7.431,0.06,4.54,3.73
4/21/2023 16:59,9.204,8.194,0.08,4.96,4.07
4/21/2023 17:14,12.401,11.446,0.15,6.72,5.49
4/21/2023 17:29,11.151,10.174,0.12,6.03,4.93
4/21/2023 17:44,8.462,7.440,0.07,4.55,3.74
4/21/2023 17:59,8.914,7.899,0.07,4.80,3.94
4/21/2023 18:14,7.443,6.404,0.04,3.99,3.28
4/21/2023 18:29,9.026,8.014,0.08,4.86,3.99
4/21/2023 18:44,11.122,10.145,0.12,6.01,4.92
4/21/2023 18:59,12.404,11.449,0.15,6.72,5.49
4/21/2023 19:14,13.482,12.545,0.17,7.31,5.97
4/21/2023 19:29,11.910,10.947,0.14,6.45,5.27
4/21/2023 19:44,9.337,8.330,0.08,5.03,4.13
4/21/2023 19:59,8.232,7.206,0.06,4.42,3.63
4/21/2023 20:14,9.033,8.020,0.08,4.86,3.99
4/21/2023 20:29,10.462,9.474,0.11,5.65,4.63
4/21/2023 20:44,8.483,7.461,0.07,4.56,3.74
4/21/2023 20:59,11.424,10.452,0.13,6.18,5.06
4/21/2023 21:14,8.375,7.352,0.06,4.50,3.70
4/21/2023 21:29,7.017,5.970,0.04,3.75,3.09
4/21/2023 21:44,8.207,7.181,0.06,4.41,3.62
4/21/2023 21:59,8.460,7.438,0.06,4.55,3.73
4/21/2023 22:14,8.629,7.610,0.07,4.64,3.81
4/21/2023 22:29,8.144,7.116,0.06,4.37,3.59
4/21/2023 22:44,7.238,6.195,0.04,3.88,3.19
4/21/2023 22:59,9.137,8.126,0.08,4.92,4.04
4/21/2023 23:14,7.811,6.778,0.05,4.19,3.45
4/21/2023 23:29,9.375,8.368,0.08,5.05,4.14
4/21/2023 23:44,8.452,7.430,0.06,4.54,3.73
4/21/2023 23:59,7.074,6.028,0.04,3.79,3.12
4/22/2023 0:14,8.761,7.744,0.07,4.71,3.87
4/22/2023 0:29,10.561,9.574,0.11,5.71,4.67
4/22/2023 0:44,7.259,6.216,0.04,3.89,3.20
4/22/2023 0:59,7.531,6.493,0.05,4.04,3.32
4/22/2023 1:14,6.652,5.599,0.03,3.55,2.93
4/22/2023 1:29,9.838,8.839,0.09,5.31,4.35
4/22/2023 1:44,6.397,5.340,0.02,3.41,2.81
4/22/2023 1:59,7.680,6.644,0.05,4.12,3.39
4/22/2023 2:14,9.083,8.071,0.08,4.89,4.01
4/22/2023 2:29,8.194,7.167,0.06,4.40,3.62
4/22/2023 2:44,6.416,5.359,0.02,3.42,2.82
4/22/2023 2:59,8.559,7.538,0.07,4.60,3.78
4/22/2023 3:14,7.401,6.361,0.04,3.97,3.26
4/22/2023 3:29,9.366,8.359,0.08,5.05,4.14
4/22/2023 3:44,8.327,7.303,0.06,4.48,3.68
4/22/2023 3:59,9.303,8.295,0.08,5.01,4.11
4/22/2023 4:14,10.576,9.590,0.11,5.71,4.68
4/22/2023 4:29,8.434,7.411,0.06,4.53,3.72
4/22/2023 4:44,8.361,7.337,0.06,4.49,3.69
4/22/2023 4:59,8.088,7.060,0.06,4.34,3.57
4/22/2023 5:14,7.361,6.320,0.04,3.94,3.24
4/22/2023 5:29,7.912,6.880,0.05,4.25,3.49
4/22/2023 5:44,7.460,6.421,0.04,4.00,3.29
4/22/2023 5:59,8.005,6.974,0.06,4.30,3.53
4/22/2023 6:14,8.212,7.185,0.06,4.41,3.62
4/22/2023 6:29,6.351,5.293,0.02,3.39,2.79
4/22/2023 6:44,6.736,5.684,0.03,3.60,2.97
4/22/2023 6:59,7.590,6.553,0.05,4.07,3.35
4/22/2023 7:14,9.835,8.836,0.09,5.31,4.35
4/22/2023 7:29,10.035,9.039,0.10,5.42,4.44
