Time,Elevation,Smoothed,Smoothed_SG
2021-08-25 20:15:00,2723.118326,2723.11828315,2723.1179544869674
2021-08-25 20:30:00,2723.119689,2723.11808925,2723.1180513374143
2021-08-25 20:45:00,2723.116,2723.1179535,2723.117923198352
2021-08-25 21:00:00,2723.118336,2723.1179535,2723.1178236990213
2021-08-25 21:15:00,2723.11678,2723.1178955,2723.1176053396466
2021-08-25 21:30:00,2723.116,2723.117876,2723.1176524414323
2021-08-25 21:45:00,2723.118139,2723.117905,2723.1177384684406
2021-08-25 22:00:00,2723.118529,2723.1177784,2723.1176706066112
2021-08-25 22:15:00,2723.118139,2723.1177784,2723.117721318665
2021-08-25 22:30:00,2723.118919,2723.11778825,2723.1177701367446
2021-08-25 22:45:00,2723.11678,2723.11786655,2723.117793349468
2021-08-25 23:00:00,2723.117943,2723.1178377,2723.117817347683
2021-08-25 23:15:00,2723.117749,2723.1177407,2723.117922043888
2021-08-25 23:30:00,2723.118139,2723.11785735,2723.117920619334
2021-08-25 23:45:00,2723.118529,2723.117828,2723.1178315476827
2021-08-26 00:00:00,2723.119499,2723.11787645,2723.117971921343
2021-08-26 00:15:00,2723.115997,2723.11801255,2723.1181118992445
2021-08-26 00:30:00,2723.117749,2723.1180514,2723.1180757876377
2021-08-26 00:45:00,2723.117363,2723.1179541,2723.1180588961197
2021-08-26 01:00:00,2723.118726,2723.1179346,2723.1179081079504
2021-08-26 01:15:00,2723.117749,2723.1179635999997,2723.117788450808
2021-08-26 01:30:00,2723.117749,2723.1179246,2723.117799900361
2021-08-26 01:45:00,2723.118333,2723.11789545,2723.1178898606286
2021-08-26 02:00:00,2723.117749,2723.1178565,2723.11800083853
2021-08-26 02:15:00,2723.117749,2723.11788565,2723.1180551421016
2021-08-26 02:30:00,2723.118722,2723.11797315,2723.1180145996914
2021-08-26 02:45:00,2723.118916,2723.117944,2723.1179487700033
2021-08-26 03:00:00,2723.116583,2723.1180608,2723.117936996566
2021-08-26 03:15:00,2723.117749,2723.1180316500004,2723.1178678481283
2021-08-26 03:30:00,2723.119499,2723.1179635,2723.1179232889763
2021-08-26 03:45:00,2723.116,2723.11791465,2723.1179925394235
2021-08-26 04:00:00,2723.11736,2723.1178952,2723.1178731347354
2021-08-26 04:15:00,2723.11697,2723.1179535500005,2723.1178219099593
2021-08-26 04:30:00,2723.118722,2723.11792435,2723.117749362414
2021-08-26 04:45:00,2723.120279,2723.11801185,2723.117905784959
2021-08-26 05:00:00,2723.118916,2723.11801185,2723.117956124692
2021-08-26 05:15:00,2723.118333,2723.11802155,2723.117984765986
2021-08-26 05:30:00,2723.117166,2723.1180507,2723.118156248798
2021-08-26 05:45:00,2723.116,2723.11822565,2723.1183741371915
2021-08-26 06:00:00,2723.117749,2723.11837145,2723.1183320958958
2021-08-26 06:15:00,2723.11736,2723.11828395,2723.118385006387
2021-08-26 06:30:00,2723.118916,2723.11842975,2723.1184440851825
2021-08-26 06:45:00,2723.117749,2723.11853635,2723.1183727769226
2021-08-26 07:00:00,2723.119499,2723.11854615,2723.1182459425477
2021-08-26 07:15:00,2723.117749,2723.1183517500003,2723.118356875137
2021-08-26 07:30:00,2723.118916,2723.11831275,2723.1183205441107
2021-08-26 07:45:00,2723.119499,2723.11831275,2723.118358602816
2021-08-26 08:00:00,2723.120082,2723.11837105,2723.118271831833
2021-08-26 08:15:00,2723.120665,2723.11851685,2723.118348902593
2021-08-26 08:30:00,2723.117749,2723.1188663999997,2723.11865320862
2021-08-26 08:45:00,2723.118916,2723.11904105,2723.1188928932183
2021-08-26 09:00:00,2723.119492,2723.11923515,2723.1190865947806
2021-08-26 09:15:00,2723.117166,2723.1193517499996,2723.1193378976827
2021-08-26 09:30:00,2723.114834,2723.1196628499997,2723.119641179379
2021-08-26 09:45:00,2723.119499,2723.1198670999997,2723.1199074351816
2021-08-26 10:00:00,2723.118916,2723.1200713999997,2723.120119766655
2021-08-26 10:15:00,2723.119499,2723.1202660000004,2723.120327620897
2021-08-26 10:30:00,2723.120082,2723.1204996,2723.120614928932
2021-08-26 10:45:00,2723.122991,2723.1206164,2723.1209405322807
2021-08-26 11:00:00,2723.121242,2723.1205582499997,2723.121195503263
2021-08-26 11:15:00,2723.121242,2723.12072355,2723.121343710629
2021-08-26 11:30:00,2723.121248,2723.12084,2723.1214637104044
2021-08-26 11:45:00,2723.123971,2723.1210053000004,2723.121579657057
2021-08-26 12:00:00,2723.123584,2723.12113145,2723.121796772682
2021-08-26 12:15:00,2723.121835,2723.12138385,2723.1218019501384
2021-08-26 12:30:00,2723.122808,2723.1213353499998,2723.121828490986
2021-08-26 12:45:00,2723.124171,2723.1214323,2723.122008285405
2021-08-26 13:00:00,2723.122418,2723.12154925,2723.1220448086196
2021-08-26 13:15:00,2723.119502,2723.1216855499997,2723.1218390695567
