sample,T1-A,T1-B,T1-C,T1-D,T2-A,T2-B,T3-C,T3-D,T5-A,T5-B,T5-C,T5-D,T6-A,T6-B,T6-C,T6-D,T7-A,T7-B,T7-C,T7-D,T8-A,T8-C,T8-D
2.72,0.0120879,0.012578583,0.010553335,0.012810668,0.012865997,0.010872033,0.013127202,0.01258249,0.014029065,0.013503035,0.010921512,0.014937969,0.014864184,0.014279044,0.013330361,0.014392534,0.010045613,0.011057676,0.009824025,0.010521436,0.01173769,0.010659042,0.010920834
3.2,0.012816054,0.013416109,0.011243218,0.013690933,0.013858777,0.011538272,0.013897284,0.013343445,0.014858894,0.014323859,0.011670942,0.015749283,0.015610652,0.015109177,0.014052999,0.015331836,0.010655357,0.011702105,0.010455305,0.011169601,0.012514146,0.011292383,0.011583636
3.78,0.013628435,0.014274572,0.01207812,0.01457869,0.014884407,0.012169965,0.014653933,0.014246921,0.015653259,0.015316634,0.012515493,0.016748138,0.016410439,0.015943017,0.014714135,0.016422639,0.01145375,0.012367614,0.011236787,0.012002314,0.01325756,0.012086029,0.012284974
4.46,0.01469893,0.015358121,0.013205135,0.015702433,0.016180131,0.013053348,0.015638921,0.015481247,0.016702957,0.016685754,0.013648286,0.018069072,0.017435351,0.016991802,0.015590526,0.017880409,0.012582282,0.013261984,0.012377445,0.013181615,0.01425704,0.013208172,0.013221376
5.27,0.015750406,0.016436434,0.014400517,0.016818684,0.017483156,0.013946602,0.016601523,0.016761383,0.017752654,0.018103541,0.014827199,0.019430775,0.018460262,0.01802947,0.016466916,0.019324712,0.013835457,0.014219594,0.013727078,0.014527458,0.01529369,0.01442755,0.014188606
6.21,0.016864373,0.01760897,0.015668409,0.01804731,0.018829979,0.014958298,0.017640238,0.018110234,0.01890874,0.01955377,0.01605223,0.020931095,0.019633283,0.01919314,0.017466309,0.020718516,0.015246963,0.01534885,0.015359699,0.016134368,0.016491414,0.015780954,0.015286855
7.33,0.017983774,0.018802443,0.016942516,0.019294664,0.020103804,0.016068697,0.01871477,0.01947181,0.020100289,0.020984534,0.01728879,0.022488493,0.020901093,0.020408693,0.018573329,0.022108952,0.016840382,0.016580492,0.017214357,0.017961835,0.017771739,0.017271012,0.016485295
8.65,0.019168383,0.020069201,0.018282918,0.020613189,0.021457927,0.017307408,0.019896755,0.020917371,0.02138404,0.022525606,0.018614706,0.024151891,0.022305163,0.021716895,0.019741849,0.023698023,0.018703301,0.01791452,0.019306288,0.020036864,0.019134665,0.018992332,0.017841729
10.21,0.020711635,0.021817535,0.019859496,0.022429907,0.023253692,0.019049499,0.021607053,0.022686148,0.023228104,0.024326227,0.020168334,0.026231139,0.024283895,0.023480929,0.021302439,0.025458794,0.020906463,0.01972133,0.02183794,0.02244723,0.020931251,0.021139382,0.019683704
12.05,0.022662435,0.023906113,0.021728186,0.024639934,0.025264802,0.021127178,0.023729254,0.024857035,0.025426794,0.026353953,0.022027498,0.028730313,0.026671406,0.025537734,0.023239724,0.027647132,0.023601463,0.021856377,0.02480931,0.02522894,0.022983901,0.023814655,0.021841667
14.22,0.025776109,0.027057302,0.024752896,0.028003671,0.028301542,0.02412772,0.026943896,0.028178262,0.028817033,0.029442586,0.024981985,0.032330266,0.030196392,0.02864703,0.026253277,0.031296607,0.027755132,0.025024317,0.029195618,0.029406006,0.02601125,0.027953706,0.024870522
16.78,0.029797258,0.03123446,0.028788604,0.032468676,0.032225215,0.027912945,0.031215162,0.032321525,0.033398821,0.033300133,0.028818494,0.03655807,0.034657425,0.032831053,0.030527602,0.035885385,0.033000276,0.029258274,0.034772652,0.034589079,0.030128941,0.033314762,0.028666225
19.81,0.034837279,0.036359068,0.034032124,0.038023711,0.036977422,0.032315057,0.036466938,0.037531144,0.039072862,0.038238052,0.0339348,0.041254724,0.039864925,0.038049037,0.036185703,0.041756865,0.039764726,0.034579329,0.041832106,0.041129248,0.03569629,0.039989803,0.033433011
23.37,0.040523945,0.042336905,0.04023485,0.044537673,0.042459614,0.037116913,0.042645498,0.043178504,0.0457966,0.044269321,0.040181016,0.045686376,0.045498978,0.04423057,0.043242952,0.047965014,0.047324202,0.040924243,0.049879839,0.048819461,0.043167607,0.047185182,0.039590912
27.58,0.047571824,0.04951345,0.04833527,0.052250295,0.048536744,0.04246163,0.050086634,0.050169624,0.053477832,0.052253696,0.048078863,0.050868188,0.05155366,0.051175529,0.051522536,0.054947497,0.05633224,0.048286994,0.059355572,0.058384403,0.052637883,0.055810177,0.04776805
32.55,0.054812609,0.056611477,0.057055135,0.059768134,0.053628394,0.047811282,0.057626269,0.05717347,0.060499457,0.059715729,0.055581818,0.055413995,0.056737463,0.057019819,0.05908717,0.060973844,0.064872021,0.054893895,0.067074604,0.067352942,0.061290403,0.064004184,0.056565602
38.41,0.06204796,0.063264569,0.065600975,0.066652932,0.057617765,0.053299117,0.065098745,0.063719215,0.06615222,0.065338209,0.061804975,0.059140333,0.060766018,0.060937014,0.064868272,0.065081187,0.071188428,0.060537165,0.071537102,0.074041649,0.068038955,0.070616154,0.064950829
45.32,0.067212963,0.067279456,0.072392069,0.070675931,0.060201914,0.057049795,0.070010253,0.068544539,0.069336776,0.06861177,0.066846338,0.060991271,0.062282651,0.062830756,0.067551257,0.066737591,0.07393059,0.064563339,0.07349407,0.077268973,0.072990922,0.074079817,0.069971946
53.48,0.066721188,0.066049341,0.072727687,0.069155133,0.059172634,0.05753837,0.069446123,0.067821758,0.067067159,0.065802152,0.066679157,0.058663329,0.059681863,0.06057383,0.065014337,0.063987018,0.070807759,0.064174875,0.069375512,0.073179679,0.071908841,0.071204819,0.068754239
63.11,0.064550311,0.062683536,0.069458515,0.065296949,0.057015527,0.058170064,0.066428479,0.0642613,0.062364798,0.061224357,0.064070562,0.055483303,0.056168725,0.056452808,0.059548428,0.058533005,0.065842221,0.062094032,0.06350896,0.066817305,0.067981134,0.066398263,0.066773537
74.48,0.05662756,0.054622355,0.060200004,0.055996104,0.051401937,0.054389774,0.057375545,0.055376698,0.053009724,0.051724865,0.05693944,0.047292697,0.048822536,0.049311434,0.050630771,0.047655279,0.055052115,0.055682869,0.052812027,0.054292858,0.058919736,0.055050694,0.057775603
87.89,0.049104208,0.046870011,0.050506432,0.046556665,0.045412405,0.051122736,0.048058455,0.046179061,0.043456058,0.041871737,0.048721644,0.038833012,0.04172517,0.041751286,0.041713113,0.035962818,0.043941977,0.048786878,0.041614423,0.041705395,0.048321948,0.043545445,0.048477095
103.72,0.039991414,0.037798565,0.039750068,0.035911074,0.038240297,0.045852046,0.037465358,0.035853988,0.033427191,0.032553929,0.039780359,0.030446712,0.033644362,0.033894662,0.033003021,0.026044595,0.033505589,0.040526745,0.031866587,0.030961153,0.037806762,0.03282596,0.039409797
122.39,0.032468062,0.030344589,0.031262236,0.027239526,0.032393112,0.040704733,0.028766124,0.027641267,0.025675034,0.024929678,0.032631943,0.02455551,0.026961699,0.027768719,0.026499281,0.020280848,0.026296463,0.034163763,0.025579907,0.023579269,0.029451608,0.025804027,0.03146387
144.43,0.0258386,0.024136433,0.024224607,0.020332253,0.027009468,0.03627301,0.02180405,0.020828296,0.019369756,0.018998985,0.026296371,0.019597931,0.021487603,0.022491439,0.021394691,0.015079336,0.02018892,0.028430153,0.020146544,0.017750281,0.02241808,0.019888469,0.026180714
170.44,0.020323105,0.019425353,0.018657899,0.015327852,0.022768251,0.031920249,0.01657466,0.015463432,0.014830524,0.013697697,0.021131064,0.014889046,0.017204301,0.018685424,0.018304261,0.010618492,0.014883138,0.024151025,0.015316163,0.012650479,0.016999414,0.014648299,0.021302176
201.13,0.014886403,0.014871309,0.013383303,0.01096773,0.018220441,0.026610077,0.011936262,0.010727183,0.010567901,0.009259409,0.015962874,0.01087732,0.013157973,0.014997999,0.015367584,0.007261917,0.010668832,0.019537637,0.011043049,0.00858144,0.012121788,0.01028587,0.017105709
237.35,0.011802616,0.011584022,0.010640348,0.007933624,0.014563213,0.021911859,0.008632076,0.008434137,0.007418808,0.007445811,0.013336984,0.00881438,0.010089161,0.01212959,0.01313817,0.005962381,0.008607157,0.016083619,0.008855337,0.006441144,0.008759902,0.00813882,0.014415963
280.09,0.009979514,0.008757374,0.009741222,0.005468882,0.011088482,0.017213641,0.005900973,0.007925136,0.004900953,0.007523676,0.012740322,0.008537147,0.007352114,0.00947242,0.011085571,0.007356184,0.008586944,0.012728976,0.008498337,0.005707457,0.005963837,0.007907559,0.011614465
330.52,0.008794905,0.006726375,0.009415962,0.003865675,0.008336436,0.013433351,0.004083223,0.007902231,0.003205833,0.00798762,0.012919033,0.008586071,0.005349685,0.007259965,0.009386604,0.00995189,0.009038357,0.010416259,0.008328544,0.005282098,0.004105301,0.008070493,0.009525865
390.04,0.007330446,0.005480556,0.008210221,0.003060326,0.00658447,0.010946059,0.003120621,0.006968215,0.002283801,0.006534145,0.011362523,0.007346676,0.004259605,0.005907292,0.008218083,0.009823957,0.008226488,0.009037061,0.006900545,0.004255836,0.003010829,0.007074492,0.008177138
460.27,0.006615877,0.005580012,0.00707492,0.003382466,0.00659542,0.01052164,0.00333105,0.005761885,0.002241246,0.004032742,0.008667455,0.00553243,0.004520276,0.006129649,0.008894595,0.006551549,0.00687225,0.009362286,0.005122077,0.003191315,0.002986049,0.005676413,0.008620291
