sample,T1-A,T1-B,T1-C,T1-D,T2-A,T2-B,T3-C,T3-D,T5-A,T5-B,T5-C,T5-D,T6-B,T6-C,T6-D,T7-A,T7-B,T7-C,T7-D,T8-A,T8-C,T8-D
2.72,0.007704785,0.008375492,0.011121169,0.010791367,0.009419807,0.010854817,0.017787773,0.010616229,0.013405362,0.012945671,0.018374692,0.024626317,0.01299709,0.011718062,0.011913688,0.012634946,0.008729588,0.018281709,0.013022352,0.029659643,0.014952107,0.010235027
3.2,0.008177886,0.008937605,0.011961722,0.011548656,0.010003334,0.011630161,0.019321202,0.011226358,0.014339069,0.013794567,0.019890131,0.026464102,0.013676043,0.012334802,0.012580188,0.013514594,0.009243093,0.019797291,0.013929381,0.031766613,0.015886613,0.01070887
3.78,0.008853744,0.009612142,0.01299625,0.012495267,0.010670223,0.012599341,0.021468002,0.012019524,0.015472856,0.014855688,0.021784429,0.028914482,0.014645975,0.013127753,0.013413313,0.014554178,0.009756599,0.021881216,0.015030774,0.034683955,0.016976871,0.011277483
4.46,0.009799946,0.010511523,0.014483383,0.013757415,0.011670557,0.013891581,0.024432631,0.013178768,0.017006803,0.016199774,0.024625876,0.032467532,0.015906887,0.014361233,0.014663001,0.016073571,0.010475506,0.024817657,0.016520894,0.038573744,0.018534382,0.012035633
5.27,0.010881319,0.011523328,0.016099832,0.015145778,0.012754251,0.015313045,0.02811286,0.014521049,0.018807523,0.017756084,0.027940898,0.036633178,0.017361785,0.015594714,0.015996001,0.017672931,0.011297114,0.028417164,0.01814059,0.043111831,0.020169769,0.012888552
6.21,0.01216545,0.012759978,0.017910255,0.016786571,0.014004668,0.016992957,0.032508689,0.016107383,0.020808323,0.019595359,0.031824209,0.041533938,0.019107662,0.017180617,0.017745564,0.019512195,0.012324124,0.032869186,0.020084224,0.047649919,0.022194533,0.014025777
7.33,0.013652338,0.014165261,0.019849994,0.0187429,0.015505168,0.018802093,0.037211204,0.018059793,0.023075897,0.0217176,0.036370525,0.046802254,0.021338506,0.018942731,0.019661751,0.021431427,0.013556537,0.037889552,0.022351798,0.052025932,0.024608675,0.015447309
8.65,0.015341984,0.015795391,0.022113022,0.02095166,0.017339113,0.021128126,0.042936005,0.020256254,0.025610244,0.024122807,0.04167456,0.052560647,0.024054316,0.020969163,0.021911189,0.0237505,0.01489165,0.043762433,0.025072886,0.056564019,0.027412195,0.017153146
10.21,0.017437145,0.017762788,0.024957972,0.023728386,0.019673224,0.023906442,0.049274177,0.022940818,0.028744831,0.026952462,0.047736314,0.05819652,0.027546072,0.023524229,0.024993752,0.026709316,0.016945671,0.050582552,0.028312277,0.060615883,0.030916595,0.019522365
12.05,0.020140579,0.02034851,0.028449502,0.027073078,0.022757586,0.02739549,0.055919035,0.026296522,0.032746432,0.030772496,0.054271642,0.062974761,0.031910766,0.026960352,0.028826127,0.030467813,0.019718599,0.057686843,0.032588273,0.063209076,0.035277626,0.022744503
14.22,0.024195729,0.024114671,0.033622139,0.031995456,0.02750917,0.03256445,0.064097322,0.031421599,0.039015606,0.036714771,0.062511839,0.067630483,0.038312318,0.032511013,0.03490794,0.036385446,0.023929342,0.066496164,0.039002268,0.06547812,0.041819173,0.027482942
16.78,0.029535009,0.029005059,0.040023277,0.03799066,0.03351117,0.039154875,0.070435494,0.038133008,0.047018808,0.044284097,0.069520743,0.068978192,0.046362755,0.039823789,0.042739315,0.043742503,0.029988703,0.073505731,0.046776806,0.064829822,0.04976248,0.03373768
19.81,0.036293593,0.035413153,0.047652916,0.045374227,0.041263755,0.046972928,0.07360458,0.046308725,0.056489262,0.05319751,0.073877628,0.066650331,0.055771096,0.04907489,0.052320253,0.05269892,0.037793982,0.076726343,0.055458374,0.060777958,0.058328791,0.041319181
23.37,0.043660449,0.042776841,0.055411871,0.053388868,0.049933311,0.054984816,0.070946637,0.054911531,0.065492864,0.061403509,0.073025194,0.060156824,0.064791465,0.058414097,0.061234691,0.061255498,0.046626271,0.073505731,0.063103337,0.052836305,0.065337591,0.049753601
27.58,0.052716951,0.052051714,0.06368809,0.062476335,0.059936646,0.063772049,0.064301779,0.063880415,0.073429372,0.06868987,0.068573593,0.05219309,0.07371484,0.067577093,0.069482629,0.069252299,0.055869364,0.06640144,0.06984127,0.043922204,0.070711004,0.058188021
32.55,0.062043796,0.061045531,0.070218544,0.069859902,0.06918973,0.070750145,0.054590063,0.07071385,0.077230892,0.072014714,0.060428111,0.043371723,0.078758487,0.073920705,0.073898192,0.073970412,0.063469241,0.055981813,0.0734046,0.035170178,0.072502142,0.063968916
38.41,0.07089754,0.068690275,0.074485969,0.074845387,0.076108703,0.075014538,0.044060519,0.074130567,0.076163799,0.071024335,0.050956621,0.03516295,0.07885548,0.075947137,0.07348163,0.074370252,0.068912396,0.045088567,0.073922902,0.027228525,0.07094463,0.066148597
45.32,0.076980265,0.073805509,0.075326523,0.077180361,0.079109703,0.075208374,0.03465549,0.073398414,0.070828331,0.066426146,0.04072741,0.027444254,0.073811833,0.073832599,0.069066067,0.070371851,0.070761015,0.034953112,0.069776482,0.020259319,0.065026088,0.064063685
53.48,0.076980265,0.07262507,0.070541834,0.074024991,0.076108703,0.069910189,0.026170517,0.066931056,0.06062425,0.057795699,0.030403486,0.020215633,0.063045587,0.065726872,0.059401816,0.06077569,0.067063777,0.025670171,0.061030126,0.014100486,0.055525271,0.057240334
63.11,0.071978913,0.067847105,0.062782879,0.067588035,0.069856619,0.062027525,0.019525659,0.057352044,0.048819528,0.047962649,0.022258003,0.014457241,0.051503395,0.054977974,0.048654503,0.04990004,0.059669303,0.018850052,0.051182378,0.009400324,0.045167822,0.049184989
74.48,0.061773452,0.057729061,0.050756498,0.055345198,0.058686229,0.050332752,0.013800859,0.045637584,0.036147792,0.036926995,0.014586096,0.008821367,0.039088264,0.043348018,0.037740565,0.038144742,0.050631611,0.012787724,0.039002268,0.005510535,0.03364224,0.039992418
87.89,0.050419032,0.046824058,0.038794776,0.041335353,0.046515505,0.038702591,0.009711715,0.034899329,0.025410164,0.02737691,0.009187346,0.00490076,0.028612997,0.033480176,0.029159377,0.028788485,0.042415528,0.008619873,0.028636216,0.002917342,0.023985671,0.032410917
103.72,0.039334955,0.036818437,0.02786758,0.028587656,0.034761587,0.027976998,0.006951544,0.02580842,0.016806723,0.019595359,0.005493465,0.00245038,0.019010669,0.024317181,0.021411314,0.020631747,0.03368594,0.005683433,0.019760285,0.001458671,0.01612024,0.025682335
122.39,0.031832928,0.030522766,0.020302599,0.020194371,0.026508836,0.020740454,0.005520343,0.020256254,0.011604642,0.015209394,0.003315022,0.00122519,0.011833172,0.018237885,0.016412564,0.015113954,0.028140084,0.004073127,0.013994169,0.000648298,0.011291955,0.021322972
144.43,0.024736415,0.025014053,0.014030777,0.013820523,0.019173058,0.014731537,0.004395829,0.01561928,0.007603041,0.011601585,0.001894298,0.000490076,0.006692532,0.013303965,0.012413563,0.011035586,0.023518538,0.00293644,0.009459022,0.000324149,0.007631804,0.018764215
170.44,0.018924034,0.020573356,0.009116772,0.009213682,0.013171057,0.010208697,0.003475772,0.012263575,0.004801921,0.009054895,0.000947149,0.000122519,0.003297769,0.009955947,0.009747563,0.008236705,0.02177262,0.001989201,0.006219631,0.000162075,0.00490616,0.018290371
201.13,0.014125439,0.016807195,0.005560585,0.005553452,0.008419473,0.006719649,0.002760172,0.009579012,0.002867814,0.007003396,0.000473575,0,0.001260912,0.006784141,0.0073315,0.005837665,0.020334805,0.001326134,0.003822481,0,0.002959271,0.018858984
237.35,0.011286834,0.015233277,0.003556188,0.003470907,0.005751917,0.004781288,0.002657943,0.008358755,0.001867414,0.006225241,0.00018943,0,0.000484966,0.005374449,0.006581688,0.004798081,0.0198213,0.001041963,0.002526725,0,0.002024764,0.021038666
280.09,0.010881319,0.015458123,0.00252166,0.002398082,0.004751584,0.003941332,0.004191372,0.008907871,0.001533947,0.007357102,0.00018943,0,0.000193986,0.005638767,0.007914688,0.005037985,0.019307795,0.00123141,0.00207321,0,0.001869013,0.023597422
330.52,0.011084077,0.015458123,0.001745765,0.001640793,0.004001334,0.003295212,0.006235944,0.009579012,0.001267174,0.00877193,9.47E-05,0,9.70E-05,0.005991189,0.009914188,0.005517793,0.01786998,0.001420858,0.001749271,0,0.001713262,0.025208491
390.04,0.009597188,0.012703766,0.001034527,0.000946611,0.002750917,0.00226142,0.004804743,0.008114704,0.000867013,0.007569327,9.47E-05,0,0,0.004669604,0.008914438,0.004638145,0.01489165,0.001041963,0.001295756,0,0.001090258,0.023881729
460.27,0.007028927,0.008881394,0.000581922,0.000504859,0.001583861,0.001486076,0.001533429,0.005369128,0.000466853,0.004598189,0,0,0,0.002555066,0.005332,0.002878848,0.012221423,0.000378896,0.000842242,0,0.000545129,0.021322972
