season,start,end
spring,2023-05-04 22:15:00,2023-05-04 23:00:00
spring,2023-05-04 23:30:00,2023-05-05 00:00:00
spring,2023-05-05 00:15:00,2023-05-05 00:30:00
spring,2023-05-05 01:00:00,2023-05-05 01:15:00
spring,2023-05-05 02:00:00,2023-05-05 02:15:00
spring,2023-05-05 03:30:00,2023-05-05 03:45:00
spring,2023-05-05 08:45:00,2023-05-05 09:00:00
spring,2023-05-05 15:15:00,2023-05-05 15:30:00
spring,2023-05-05 16:15:00,2023-05-05 16:30:00
spring,2023-05-05 16:45:00,2023-05-05 17:00:00
spring,2023-05-05 17:15:00,2023-05-05 18:30:00
summer,2023-07-06 13:30:00,2023-07-06 14:00:00
summer,2023-07-06 14:15:00,2023-07-06 14:30:00
summer,2023-07-06 15:00:00,2023-07-06 15:15:00
summer,2023-07-07 16:00:00,2023-07-07 16:30:00
summer,2023-07-09 04:45:00,2023-07-09 05:30:00
summer,2023-07-09 05:45:00,2023-07-09 06:00:00
summer,2023-07-09 15:15:00,2023-07-09 15:30:00
summer,2023-07-09 15:45:00,2023-07-09 16:15:00
summer,2023-07-09 16:55:00,2023-07-09 17:15:00
summer,2023-07-09 17:30:00,2023-07-09 18:00:00
summer,2023-07-09 18:30:00,2023-07-09 19:15:00
summer,2023-07-11 08:05:00,2023-07-11 08:20:00
summer,2023-07-11 08:25:00,2023-07-11 08:30:00
summer,2023-07-11 12:45:00,2023-07-11 13:15:00
summer,2023-07-11 15:50:00,2023-07-11 16:00:00
summer,2023-07-12 06:00:00,2023-07-12 06:15:00
summer,2023-07-13 07:05:00,2023-07-13 07:45:00
summer,2023-07-13 08:00:00,2023-07-13 09:15:00
summer,2023-07-13 17:15:00,2023-07-13 19:15:00
summer,2023-07-13 21:30:00,2023-07-13 21:45:00
summer,2023-07-18 07:15:00,2023-07-18 07:45:00
summer,2023-07-18 08:00:00,2023-07-18 08:15:00
summer,2023-07-19 07:30:00,2023-07-19 07:45:00
summer,2023-07-19 09:00:00,2023-07-19 09:15:00
summer,2023-07-19 15:45:00,2023-07-19 16:15:00
summer,2023-07-19 16:30:00,2023-07-19 17:15:00
summer,2023-07-19 17:30:00,2023-07-19 18:00:00
summer,2023-07-19 20:45:00,2023-07-19 21:00:00
summer,2023-07-20 07:45:00,2023-07-20 09:45:00
summer,2023-07-20 13:00:00,2023-07-20 14:00:00
summer,2023-07-20 14:30:00,2023-07-20 15:00:00
