Date_Time,P2C,P3C,P4C,P6C
3/3/2022 0:00,2723.122,2724.140777,2733.036394,2737.306171
3/3/2022 0:15,2723.122,2724.140637,2733.036455,2737.306417
3/3/2022 0:30,2723.122,2724.140726,2733.036382,2737.306477
3/3/2022 0:45,2723.122,2724.140764,2733.036279,2737.306696
3/3/2022 1:00,2723.122,2724.140771,2733.036367,2737.306983
3/3/2022 1:15,2723.122,2724.14068,2733.036444,2737.307086
3/3/2022 1:30,2723.122,2724.140806,2733.036443,2737.307487
3/3/2022 1:45,2723.122,2724.140889,2733.036482,2737.307845
3/3/2022 2:00,2723.122,2724.140879,2733.036433,2737.308059
3/3/2022 2:15,2723.122,2724.140744,2733.036439,2737.308191
3/3/2022 2:30,2723.122,2724.140685,2733.036241,2737.3084
3/3/2022 2:45,2723.122,2724.14083,2733.036218,2737.308606
3/3/2022 3:00,2723.122,2724.140694,2733.03615,2737.308933
3/3/2022 3:15,2723.122,2724.140568,2733.036185,2737.309068
3/3/2022 3:30,2723.122,2724.140505,2733.036195,2737.309434
3/3/2022 3:45,2723.122,2724.140422,2733.036256,2737.309602
3/3/2022 4:00,2723.122,2724.140447,2733.036265,2737.30996
3/3/2022 4:15,2723.122,2724.140474,2733.036286,2737.310259
3/3/2022 4:30,2723.123,2724.140394,2733.036453,2737.310737
3/3/2022 4:45,2723.123,2724.140327,2733.03644,2737.311009
3/3/2022 5:00,2723.123,2724.140226,2733.036523,2737.311276
3/3/2022 5:15,2723.123,2724.139972,2733.036748,2737.311487
3/3/2022 5:30,2723.122,2724.139751,2733.036947,2737.311674
3/3/2022 5:45,2723.123,2724.139832,2733.037144,2737.31181
3/3/2022 6:00,2723.123,2724.139888,2733.037426,2737.311991
3/3/2022 6:15,2723.123,2724.139918,2733.037572,2737.312184
3/3/2022 6:30,2723.123,2724.139896,2733.037707,2737.312119
3/3/2022 6:45,2723.123,2724.139662,2733.037671,2737.311992
3/3/2022 7:00,2723.123,2724.139559,2733.037604,2737.311919
3/3/2022 7:15,2723.123,2724.139398,2733.037415,2737.311584
3/3/2022 7:30,2723.123,2724.139292,2733.037094,2737.310986
3/3/2022 7:45,2723.123,2724.139289,2733.036803,2737.310326
3/3/2022 8:00,2723.122,2724.13914,2733.036424,2737.309672
3/3/2022 8:15,2723.122,2724.138818,2733.036087,2737.308788
3/3/2022 8:30,2723.122,2724.138475,2733.035667,2737.307677
3/3/2022 8:45,2723.121,2724.138257,2733.03513,2737.306734
3/3/2022 9:00,2723.121,2724.137854,2733.034728,2737.305521
3/3/2022 9:15,2723.120,2724.137481,2733.0343,2737.304411
3/3/2022 9:30,2723.120,2724.136935,2733.033707,2737.30322
3/3/2022 9:45,2723.119,2724.136522,2733.033093,2737.302094
3/3/2022 10:00,2723.119,2724.136093,2733.032551,2737.300831
3/3/2022 10:15,2723.118,2724.13567,2733.03205,2737.299667
3/3/2022 10:30,2723.118,2724.135293,2733.031628,2737.298478
3/3/2022 10:45,2723.117,2724.135274,2733.031367,2737.297543
3/3/2022 11:00,2723.117,2724.13507,2733.031034,2737.29657
3/3/2022 11:15,2723.117,2724.134916,2733.03079,2737.295815
3/3/2022 11:30,2723.116,2724.134768,2733.03069,2737.295035
3/3/2022 11:45,2723.116,2724.134612,2733.030665,2737.294394
3/3/2022 12:00,2723.116,2724.134596,2733.030744,2737.293807
3/3/2022 12:15,2723.116,2724.134613,2733.030913,2737.293354
3/3/2022 12:30,2723.116,2724.13456,2733.031244,2737.293018
3/3/2022 12:45,2723.116,2724.134835,2733.03163,2737.292981
3/3/2022 13:00,2723.116,2724.135323,2733.031932,2737.292893
3/3/2022 13:15,2723.116,2724.135606,2733.032232,2737.293024
3/3/2022 13:30,2723.117,2724.135943,2733.032566,2737.293141
3/3/2022 13:45,2723.117,2724.136218,2733.032741,2737.293132
3/3/2022 14:00,2723.117,2724.136471,2733.032941,2737.293291
3/3/2022 14:15,2723.117,2724.136819,2733.03308,2737.293538
3/3/2022 14:30,2723.117,2724.137232,2733.033204,2737.293541
3/3/2022 14:45,2723.118,2724.137659,2733.03332,2737.293629
3/3/2022 15:00,2723.118,2724.138035,2733.033424,2737.293872
3/3/2022 15:15,2723.118,2724.138238,2733.033367,2737.294045
3/3/2022 15:30,2723.118,2724.138308,2733.033366,2737.294263
3/3/2022 15:45,2723.118,2724.138502,2733.03358,2737.29461
3/3/2022 16:00,2723.118,2724.138628,2733.033619,2737.294928
3/3/2022 16:15,2723.118,2724.138837,2733.033735,2737.295412
3/3/2022 16:30,2723.118,2724.139099,2733.033752,2737.295881
3/3/2022 16:45,2723.118,2724.139236,2733.033675,2737.296225
3/3/2022 17:00,2723.118,2724.13957,2733.033767,2737.296804
3/3/2022 17:15,2723.118,2724.139756,2733.033744,2737.297091
3/3/2022 17:30,2723.118,2724.139835,2733.033652,2737.297571
3/3/2022 17:45,2723.118,2724.13979,2733.033619,2737.297763
3/3/2022 18:00,2723.118,2724.140043,2733.033638,2737.298205
3/3/2022 18:15,2723.118,2724.140078,2733.033649,2737.298549
3/3/2022 18:30,2723.118,2724.140129,2733.033741,2737.298975
3/3/2022 18:45,2723.119,2724.140228,2733.033876,2737.299392
3/3/2022 19:00,2723.119,2724.140233,2733.034025,2737.300016
3/3/2022 19:15,2723.119,2724.14028,2733.034178,2737.300473
3/3/2022 19:30,2723.119,2724.140274,2733.034221,2737.301024
3/3/2022 19:45,2723.119,2724.140233,2733.034393,2737.30163
3/3/2022 20:00,2723.120,2724.140386,2733.034524,2737.302257
3/3/2022 20:15,2723.120,2724.140475,2733.034551,2737.302749
3/3/2022 20:30,2723.120,2724.140425,2733.034545,2737.303228
3/3/2022 20:45,2723.120,2724.140297,2733.03467,2737.303571
3/3/2022 21:00,2723.120,2724.13997,2733.034571,2737.303622
3/3/2022 21:15,2723.120,2724.139762,2733.034532,2737.30376
3/3/2022 21:30,2723.120,2724.139633,2733.034389,2737.303744
3/3/2022 21:45,2723.120,2724.139571,2733.034305,2737.303655
3/3/2022 22:00,2723.120,2724.13945,2733.034173,2737.303661
3/3/2022 22:15,2723.120,2724.139208,2733.0341,2737.303664
3/3/2022 22:30,2723.120,2724.138958,2733.033978,2737.303433
3/3/2022 22:45,2723.120,2724.138713,2733.033868,2737.30327
3/3/2022 23:00,2723.119,2724.138681,2733.034056,2737.303276
3/3/2022 23:15,2723.119,2724.138566,2733.033863,2737.303076
3/3/2022 23:30,2723.119,2724.138623,2733.03389,2737.303119
3/3/2022 23:45,2723.119,2724.138581,2733.033918,2737.303153
3/4/2022 0:00,2723.119,2724.138531,2733.034,2737.30323
3/4/2022 0:15,2723.119,2724.138519,2733.034082,2737.30332
