sample,T1-A,T1-B,T1-C,T1-D,T2-A,T2-B,T3-C,T3-D,T5-A,T5-B,T5-C,T5-D,T6-B,T6-C,T6-D,T7-A,T7-B,T7-C,T7-D,T8-A,T8-C,T8-D
4.46,0.005393796,0.006046997,0.007827089,0.009685634,0.005453358,0.00513112,0.013815591,0.005720967,0.007605576,0.008066886,0.014367041,0.011089431,0.0065666,0.009348988,0.004668391,0.007191139,0.006571527,0.017794712,0.009541207,0.024749083,0.011640152,0.005808697
5.27,0.005988973,0.006629061,0.008700648,0.010663083,0.005959741,0.005656164,0.015896601,0.006303658,0.008410873,0.008841871,0.016301066,0.012512226,0.007167203,0.010151969,0.00509279,0.007906675,0.007086941,0.020375624,0.01047662,0.027660739,0.012667225,0.006220337
6.21,0.006695747,0.007340473,0.009679034,0.011818251,0.006544029,0.006276672,0.018382251,0.006992293,0.009305646,0.009757761,0.018566638,0.014186103,0.007887927,0.011184373,0.005649814,0.008729542,0.007731208,0.023567804,0.011599114,0.030572396,0.013938838,0.00676919
7.33,0.007514116,0.008148895,0.010727305,0.013195565,0.007245175,0.006944911,0.021041319,0.007839844,0.010319723,0.010814559,0.021219015,0.01598552,0.008808853,0.012331488,0.006259888,0.009588185,0.008504329,0.027167498,0.012908692,0.033380065,0.015454992,0.007455257
8.65,0.00844408,0.009086665,0.011950287,0.014750599,0.008102131,0.007804075,0.024278445,0.008793339,0.011453103,0.012012262,0.024313455,0.017952324,0.009929979,0.01365067,0.006976061,0.010625713,0.009341876,0.031378461,0.014480185,0.036291722,0.017215687,0.008278537
10.21,0.009597237,0.010218455,0.013487751,0.016705497,0.009192803,0.008830299,0.027862406,0.009958721,0.012854915,0.013421326,0.027849958,0.019877282,0.011371428,0.015313987,0.007957484,0.011949454,0.010630411,0.03626861,0.016351009,0.038891416,0.019416556,0.009421981
12.05,0.011085181,0.011705952,0.015374639,0.019060261,0.010634047,0.010119045,0.031619784,0.011415448,0.014644463,0.015323561,0.031662749,0.021509312,0.013173239,0.017550862,0.009177632,0.013630965,0.012369933,0.041362516,0.018820498,0.04055522,0.022155416,0.010977065
14.22,0.013317097,0.013872523,0.018170028,0.022525763,0.012854343,0.012028299,0.03624425,0.013640269,0.017448087,0.018282593,0.036470182,0.023099494,0.015815895,0.021164275,0.011113953,0.016278448,0.01501143,0.04767896,0.022524732,0.042011048,0.026263705,0.013263954
16.78,0.016255785,0.016685832,0.021629321,0.026746567,0.015658927,0.014462598,0.039828211,0.016553725,0.021027182,0.022051837,0.040559264,0.02355981,0.019139235,0.025924803,0.013607298,0.019569915,0.018812607,0.052704947,0.027014712,0.041595097,0.031252342,0.016282647
19.81,0.019975645,0.020372237,0.02575252,0.031944821,0.019281515,0.017350344,0.041620192,0.020102843,0.025262443,0.026490385,0.043101124,0.022764719,0.023023138,0.031947157,0.016657667,0.023576917,0.023709039,0.055014184,0.032028522,0.038995404,0.036632244,0.019941669
23.37,0.00930389,0.009527706,0.011594141,0.014552829,0.009033754,0.007863371,0.015532328,0.009229193,0.011339893,0.011838473,0.016495059,0.007955187,0.010355681,0.014722992,0.007548269,0.010610501,0.011324721,0.020405953,0.014110019,0.01312518,0.015887266,0.009296935
25,0.014726402,0.015080663,0.018351462,0.02303454,0.014298826,0.012446317,0.024584912,0.01460817,0.017949032,0.018738196,0.026108744,0.012591646,0.0163912,0.023303876,0.011947567,0.016794535,0.017925018,0.032298993,0.02233365,0.020774825,0.025146716,0.014715395
27.58,0.029014903,0.029943954,0.034418225,0.043985219,0.028006887,0.023555419,0.036359862,0.027730799,0.032838194,0.034205006,0.040006685,0.017826784,0.030430583,0.043991867,0.022121806,0.030982717,0.035048144,0.047611041,0.040334985,0.028180678,0.044408649,0.028082992
32.55,0.034148309,0.035117856,0.037947404,0.049183472,0.03233062,0.026132911,0.030868308,0.030697227,0.034538264,0.035860655,0.035254509,0.014813806,0.032512675,0.048121481,0.023527629,0.033093549,0.039815723,0.040139979,0.042392892,0.02256534,0.045533537,0.030872996
38.41,0.039021324,0.039515672,0.040253599,0.052693404,0.035563682,0.027708046,0.024914309,0.03218044,0.034061051,0.035367483,0.029728725,0.012010063,0.032552715,0.049440664,0.023395004,0.033272433,0.04323034,0.032329323,0.042692224,0.017469941,0.044555373,0.031924965
45.32,0.042369198,0.042458329,0.04070785,0.054337296,0.036965974,0.027779643,0.019596174,0.031862609,0.031674988,0.033077755,0.023760876,0.009373708,0.030470623,0.048064125,0.021989182,0.031483592,0.044390021,0.025062017,0.040297568,0.012998468,0.040838349,0.030918734
53.48,0.042369198,0.041779254,0.038122115,0.05211582,0.035563682,0.025822657,0.01479829,0.029055098,0.027111643,0.028780113,0.017737771,0.00690474,0.026026156,0.042787395,0.018912288,0.027190375,0.042070658,0.01840598,0.035246341,0.009046933,0.034871549,0.027625615
63.11,0.039616502,0.039030619,0.033929032,0.04758401,0.032642241,0.022911046,0.011040912,0.024896802,0.021832478,0.023883619,0.012985595,0.004937935,0.021261368,0.035789993,0.01549057,0.022324729,0.037431934,0.01351583,0.029559034,0.006031289,0.028366758,0.023737904
74.48,0.033999514,0.03320998,0.027429753,0.038964684,0.027422599,0.018591359,0.007803786,0.019811498,0.016165578,0.018388273,0.008509709,0.003012977,0.016136217,0.028219033,0.012015801,0.017065538,0.031762381,0.009169031,0.022524732,0.003535583,0.021128344,0.01930134
87.89,0.02775015,0.026936624,0.020965416,0.029101332,0.021735525,0.014295538,0.005491553,0.015149969,0.011363626,0.013632685,0.005360012,0.001673877,0.011811871,0.021795188,0.009283732,0.012879652,0.026608242,0.006180606,0.016538092,0.001871779,0.015063727,0.015642318
103.72,0.021649581,0.021180659,0.015060157,0.02012657,0.016243215,0.010333836,0.003930796,0.011203561,0.007516099,0.009757761,0.003204956,0.000836938,0.007847887,0.01583019,0.006816912,0.009230417,0.021131969,0.004075125,0.011412032,0.00093589,0.010123998,0.012394936
122.39,0.0020748,0.002079347,0.001299304,0.001683645,0.001466871,0.00090721,0.000369653,0.001041316,0.000614568,0.000896887,0.000229029,4.95556E-05,0.000578476,0.001405971,0.000618799,0.000800741,0.002090478,0.000345849,0.000957075,4.92573E-05,0.000839805,0.001218671
125,0.015445737,0.015479581,0.009672597,0.0125338,0.010920041,0.006753671,0.002751861,0.007752022,0.004575119,0.006676827,0.001704996,0.000368914,0.004306433,0.010466671,0.004606616,0.005961075,0.015562448,0.002574657,0.007124889,0.000366693,0.006251884,0.009072328
144.43,0.013614685,0.014389913,0.007582492,0.009730064,0.008959088,0.005441373,0.00248565,0.006780406,0.00340014,0.005777159,0.001105157,0.000167388,0.002762777,0.00866072,0.003952217,0.0049372,0.014753723,0.002105481,0.005462809,0.000207975,0.004793004,0.009056079
170.44,0.010415606,0.0118353,0.004926873,0.006486709,0.006154504,0.003770776,0.001965398,0.005323678,0.002147457,0.004509002,0.000552578,4.18469E-05,0.001361368,0.006481201,0.003103419,0.003685011,0.013658468,0.001426293,0.003591984,0.000103988,0.003081217,0.00882739
201.13,0.007774506,0.009668728,0.003005043,0.003909797,0.003934208,0.00248203,0.001560757,0.004158296,0.001282509,0.003487431,0.00027629,0,0.000520523,0.004416393,0.002334195,0.002611707,0.012756494,0.000950862,0.002207573,0,0.001858512,0.009101817
237.35,0.00183865,0.002593722,0.000568815,0.000723253,0.000795502,0.000522711,0.000444837,0.00107397,0.000247176,0.000917506,3.271E-05,0,5.92547E-05,0.00103553,0.000620208,0.000635344,0.003680268,0.000221125,0.000431901,0,0.000376367,0.003005273
250,0.004373515,0.006169573,0.001353015,0.00172037,0.001892225,0.001243349,0.001058114,0.002554606,0.000587946,0.002182432,7.78058E-05,0,0.000140947,0.002463171,0.001475263,0.001511265,0.008754092,0.000525981,0.001027343,0,0.000895247,0.007148512
280.09,0.002364475,0.003510857,0.000538021,0.000666557,0.000876583,0.000574759,0.000935702,0.00152669,0.000270833,0.001446392,4.36322E-05,0,3.16161E-05,0.001449237,0.000994856,0.000889866,0.004781964,0.00034859,0.000472711,0,0.00046342,0.004496314
300,0.02085733,0.024603006,0.020165313,0.012904291,0.022506623,0.012743306,0.01902519,0.021161301,0.013479959,0.016555008,0.01052254,0.015796377,0.021590185,0.016639915,0.016103037,0.018460937,0.023435817,0.01328028,0.018419025,0.018048261,0.015507631,0.026854943
330.52,0.039707979,0.0463778,0.038661381,0.02432843,0.043141558,0.024350886,0.037831779,0.040863026,0.026045618,0.032329695,0.020445834,0.03080604,0.042050633,0.032018872,0.03158648,0.035810845,0.042619249,0.025875844,0.03551782,0.035197657,0.029933535,0.051097148
390.04,0.04493691,0.051538353,0.045063963,0.028009491,0.049983703,0.028131709,0.043195434,0.046831994,0.030451328,0.03676224,0.024114906,0.036349264,0.049569956,0.036218198,0.036383863,0.041416887,0.046402593,0.030076937,0.04146518,0.041531106,0.034734884,0.057462027
460.27,0.22392604,0.25055765,0.247287126,0.152091248,0.270983249,0.152025913,0.225496299,0.242669043,0.167041818,0.185379012,0.133515164,0.201714349,0.275080433,0.185781153,0.187853987,0.219609086,0.213329222,0.163032817,0.226437977,0.230470142,0.189298253,0.265205987
850,0.029748485,0.019411009,0.033207415,0.013993655,0.040052407,0.043085563,0.038784271,0.04625092,0.04164961,0.045353559,0.026131388,0.070651214,0.066890276,0.026271071,0.046550087,0.048238478,0.021635514,0.021122829,0.0358024,0.016952014,0.024792192,0.051302944
1000,0.109308793,0.058930809,0.077837988,0.067841617,0.111296584,0.373776016,0.078754934,0.180470798,0.275702148,0.198301842,0.202035149,0.303128276,0.132092148,0.06290783,0.372360845,0.196270455,0.060803648,0.032165012,0.067803557,0.016196447,0.080516697,0.106327534
